Date,Race,Age,Approve of immigration?,Community,Tags,Quotes
5/31/23,Black,Old,Y,North Lawndale,Ethnic identity,"""I suggest that they should not be housed in impoverished and marginalized Black communities, but instead in affluent communities where there are more resources"", ""Our immigrant and first generation immigrant parents are benefitting from the blood, sweat, and tears that were promised reparations that they never recieved"", ""51 million dollars is a lot of money, we need to match 51 million dollars for our youth so they will not end up in jail"""
5/31/23,White,Young,Y,,"Imperialism,Structural problems","""They don't mean invest in our communities, they mean bring in corporations like Walmart. How many subsidies were given to Walmart and then they up and leave?"", ""What they need are homes and jobs"", ""We need actual public works programs"", ""They got you fighting each other, we need to be asking 'what's good for everybody?'"", ""That includes issues caused by our government"""
5/31/23,Asian,Young,Y,32nd ward,Structural problems,"""I am also here in support of increased essential resources going to all communities across Chicago"", ""We've seen our folks live in the fear of separation and deporation"", ""We have seen how this humanitarian crisis has exposed our city's existing gaps in resources"", ""I know that our city must step in and address these immediate needs"", ""We shouldn't be here fighting for one another for resources"""
5/31/23,Black,Mid,N,,Ethnic identity,"""How dare this City Council have the guts to give migrants $51 million?"", ""I demand this city have the same urgency to pass reparations of Black Americans"", ""We didn't have the luxury or the priviledge the right to cross the border. We came here chained on ships."""
5/31/23,Latinx,Young,Y,Brighton Park,Structural problems,"""Our members have seen firsthand not just to address what's going on but to see the cracks on our institutions that have been here before last summer"", ""We shouldn't be fighting over scraps! We shouldn't be fighting with each other scraps!"""
5/31/23,Latinx,Young,Y,Brighton Park,Structural problems,"""Our elected officials should be investing in our communities. This is not a one-or-the-other issue, we should transform how care works in our communities"", ""We have not seen these Alders sign on to Treatmeant, not Trauma, we have not seen these Alders sign on to Bring Chicago Home"""
5/31/23,Black,Old,NU,,Structural problems,"""We need a community center for them"", ""Let us keep South Shore for the community. There's enough for everynody. But we want to see that"""
5/31/23,Black,Mid,N/A,,Ethnic identity,"""We need a resolution for reparations"" , ""That's OUR building in South Shore"", ""The right thing to do is make whole our people in the city of Chicago, right tnow"""
5/31/23,Black,Old,NU,,Ethnic identity,"""We have not opened up the schools for our homeless"","
5/31/23,Asian,Mid,Y,Little Village,"Pro-Chicago,Structural problems","""I am here to speak in support for migrants and asylum seekers. And in support of resources for all our communities"", ""The city cannot transfer resources from one struggling community to another"""
5/31/23,Latinx,Young,Y,5th ward,,
6/28/23,Latinx,Mid,Y,,Religion,"""Reach out to the organizations that are doing this for free"", ""I hope you do something about the $47 million going for staffing, that's just ridicolous"""
6/28/23,Latinx,Young,Y,,,
