Year-Month,Total Posts,Positive Posts,Negative Posts,Neutral Posts,Total Comments,Positive Comments,Negative Comments,Neutral Comments
2023-01,6,3,0,3,119,60,16,43
2023-02,4,2,0,2,156,81,24,51
2023-03,1,1,0,0,63,36,4,23
2023-05,20,11,0,9,1693,808,381,504
2023-06,5,4,1,0,87,47,25,15
2023-07,16,11,4,1,585,350,85,150
2023-08,10,6,2,2,174,91,38,45
2023-09,42,28,7,7,3747,1764,988,995
2023-10,42,25,7,10,2861,1582,544,735
2023-11,30,25,3,2,992,532,184,276
2023-12,28,18,0,10,3331,1532,743,1056
