Year-Month,Total Posts,Positive Posts,Negative Posts,Neutral Posts,Total Comments,Positive Comments,Negative Comments,Neutral Comments
2024-01,27,14,2,11,4454,1989,1066,1399
2024-02,56,29,8,19,8351,3438,2201,2712
2024-03,27,9,8,10,1972,948,449,575
2024-04,18,10,2,6,4650,2237,1155,1258
2024-05,15,10,0,5,3326,1314,829,1183
2024-06,16,7,1,8,1869,830,510,529
2024-07,21,7,7,7,1973,880,502,591
2024-08,30,8,14,8,5456,2391,1465,1600
2024-09,24,14,0,10,2416,1056,606,754
2024-10,19,9,3,7,1383,675,318,390
2024-11,29,16,8,5,4510,2063,1150,1297
2024-12,2,0,0,2,142,41,42,59
