Year-Month,Total Posts,Positive Posts,Negative Posts,Neutral Posts,Total Comments,Positive Comments,Negative Comments,Neutral Comments,Percent Negative,Percent Positive,Percent Neutral
2012-04,3,3,0,0,56,38,5,13,0.089285714,0.678571429,0.232142857
2012-06,2,2,0,0,19,12,0,7,0,0.631578947,0.368421053
2012-08,1,0,1,0,4,0,2,2,0.5,0,0.5
2012-10,4,2,2,0,30,15,5,10,0.166666667,0.5,0.333333333
2012-11,1,1,0,0,3,1,0,2,0,0.333333333,0.666666667
2013-02,1,1,0,0,5,2,0,3,0,0.4,0.6
2013-04,1,0,1,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
2013-07,1,1,0,0,11,7,1,3,0.090909091,0.636363636,0.272727273
2013-08,4,3,1,0,57,31,12,14,0.210526316,0.543859649,0.245614035
2013-09,1,1,0,0,17,7,4,6,0.235294118,0.411764706,0.352941176
2013-12,2,2,0,0,18,9,3,6,0.166666667,0.5,0.333333333
2014-02,5,5,0,0,25,14,4,7,0.16,0.56,0.28
2014-03,2,1,1,0,5,4,0,1,0,0.8,0.2
2014-04,1,1,0,0,2,2,0,0,0,1,0
2014-05,3,2,0,1,29,11,4,14,0.137931034,0.379310345,0.482758621
2014-06,1,1,0,0,13,9,2,2,0.153846154,0.692307692,0.153846154
2014-07,1,1,0,0,12,7,2,3,0.166666667,0.583333333,0.25
2014-09,1,1,0,0,5,3,2,0,0.4,0.6,0
2014-11,2,0,1,1,41,23,10,8,0.243902439,0.56097561,0.195121951
2015-01,1,1,0,0,15,6,0,9,0,0.4,0.6
2015-02,4,1,3,0,103,65,13,25,0.126213592,0.631067961,0.242718447
2015-03,1,1,0,0,11,7,1,3,0.090909091,0.636363636,0.272727273
2015-04,1,1,0,0,8,5,0,3,0,0.625,0.375
2015-05,3,3,0,0,53,33,8,12,0.150943396,0.622641509,0.226415094
2015-06,3,3,0,0,45,25,10,10,0.222222222,0.555555556,0.222222222
2015-08,2,0,1,1,139,76,27,36,0.194244604,0.54676259,0.258992806
2015-09,1,1,0,0,5,2,0,3,0,0.4,0.6
2015-11,3,1,2,0,68,38,11,19,0.161764706,0.558823529,0.279411765
2015-12,4,3,0,1,43,21,8,14,0.186046512,0.488372093,0.325581395
2016-01,3,1,0,2,31,13,6,12,0.193548387,0.419354839,0.387096774
2016-02,4,1,2,1,67,27,12,28,0.179104478,0.402985075,0.417910448
2016-03,3,2,0,1,78,39,12,27,0.153846154,0.5,0.346153846
2016-04,2,1,0,1,14,7,2,5,0.142857143,0.5,0.357142857
2016-05,1,1,0,0,6,3,0,3,0,0.5,0.5
2016-06,2,2,0,0,20,8,8,4,0.4,0.4,0.2
2016-07,2,2,0,0,54,35,8,11,0.148148148,0.648148148,0.203703704
2016-08,4,3,1,0,25,12,3,10,0.12,0.48,0.4
2016-09,2,2,0,0,59,35,3,21,0.050847458,0.593220339,0.355932203
2016-10,2,1,0,1,19,8,4,7,0.210526316,0.421052632,0.368421053
2016-11,2,1,0,1,14,5,2,7,0.142857143,0.357142857,0.5
2016-12,2,2,0,0,36,18,9,9,0.25,0.5,0.25
2017-01,2,1,0,1,72,48,11,13,0.152777778,0.666666667,0.180555556
2017-02,6,1,2,3,344,142,113,89,0.328488372,0.412790698,0.25872093
2017-03,8,3,0,5,131,64,30,37,0.229007634,0.488549618,0.282442748
2017-04,5,0,5,0,43,26,8,9,0.186046512,0.604651163,0.209302326
2017-05,1,0,1,0,179,72,57,50,0.318435754,0.402234637,0.279329609
2017-06,2,1,0,1,15,8,5,2,0.333333333,0.533333333,0.133333333
2017-08,1,0,1,0,120,61,17,42,0.141666667,0.508333333,0.35
2017-09,7,4,0,3,491,248,114,129,0.232179226,0.50509165,0.262729124
2017-10,1,1,0,0,24,11,6,7,0.25,0.458333333,0.291666667
2017-12,2,1,0,1,15,4,3,8,0.2,0.266666667,0.533333333
2018-01,5,1,1,3,151,77,38,36,0.251655629,0.509933775,0.238410596
2018-02,5,2,0,3,116,48,16,52,0.137931034,0.413793103,0.448275862
2018-03,3,2,0,1,34,9,11,14,0.323529412,0.264705882,0.411764706
2018-04,6,1,3,2,106,50,19,37,0.179245283,0.471698113,0.349056604
2018-05,4,2,1,1,203,91,57,55,0.280788177,0.448275862,0.270935961
2018-06,4,1,1,2,394,152,95,147,0.241116751,0.385786802,0.373096447
2018-08,2,0,1,1,54,24,16,14,0.296296296,0.444444444,0.259259259
2018-09,3,2,0,1,46,20,7,19,0.152173913,0.434782609,0.413043478
2018-10,1,1,0,0,6,5,0,1,0,0.833333333,0.166666667
2018-11,2,1,0,1,56,20,16,20,0.285714286,0.357142857,0.357142857
2018-12,3,3,0,0,165,75,26,64,0.157575758,0.454545455,0.387878788
2019-02,3,3,0,0,14,10,3,1,0.214285714,0.714285714,0.071428571
2019-04,8,8,0,0,166,64,50,52,0.301204819,0.385542169,0.313253012
2019-05,8,5,0,3,437,180,98,159,0.224256293,0.411899314,0.363844394
2019-06,6,1,0,5,112,46,31,35,0.276785714,0.410714286,0.3125
2019-07,15,3,4,8,379,186,83,110,0.218997361,0.490765172,0.290237467
2019-08,14,7,4,3,598,177,111,310,0.185618729,0.295986622,0.518394649
2019-09,9,3,3,3,426,195,84,147,0.197183099,0.457746479,0.345070423
2019-11,6,6,0,0,951,513,189,249,0.19873817,0.539432177,0.261829653
2019-12,3,3,0,0,24,6,6,12,0.25,0.25,0.5
2020-01,3,0,0,3,495,138,90,267,0.181818182,0.278787879,0.539393939
2020-02,7,4,0,3,133,44,27,62,0.203007519,0.330827068,0.466165414
2020-03,1,0,1,0,60,15,19,26,0.316666667,0.25,0.433333333
2020-04,9,0,3,6,513,192,120,201,0.233918129,0.374269006,0.391812865
2020-05,1,1,0,0,1,0,0,1,0,0,1
2020-06,4,4,0,0,171,100,23,48,0.134502924,0.584795322,0.280701754
2020-07,4,1,3,0,39,24,8,7,0.205128205,0.615384615,0.179487179
2020-08,7,7,0,0,257,79,50,128,0.194552529,0.307392996,0.498054475
2020-10,3,3,0,0,14,11,2,1,0.142857143,0.785714286,0.071428571
2020-11,3,0,3,0,11,5,6,0,0.545454545,0.454545455,0
2020-12,4,1,0,3,60,12,30,18,0.5,0.2,0.3
2021-01,7,6,0,1,6,3,2,1,0.333333333,0.5,0.166666667
2021-02,3,0,0,3,17,8,7,2,0.411764706,0.470588235,0.117647059
2021-05,3,3,0,0,132,84,12,36,0.090909091,0.636363636,0.272727273
2021-07,6,6,0,0,63,27,12,24,0.19047619,0.428571429,0.380952381
2021-08,8,7,0,1,889,529,115,245,0.12935883,0.595050619,0.275590551
2021-09,2,0,1,1,10,8,1,1,0.1,0.8,0.1
2021-10,1,0,0,1,6,4,1,1,0.166666667,0.666666667,0.166666667
2021-11,1,0,0,1,19,13,1,5,0.052631579,0.684210526,0.263157895
2021-12,1,1,0,0,6,4,0,2,0,0.666666667,0.333333333
2022-01,2,1,0,1,75,34,17,24,0.226666667,0.453333333,0.32
2022-02,4,4,0,0,257,86,91,80,0.354085603,0.33463035,0.311284047
2022-03,10,6,4,0,1516,591,422,503,0.278364116,0.389841689,0.331794195
2022-04,7,6,1,0,313,192,46,75,0.146964856,0.61341853,0.239616613
2022-05,8,2,3,3,268,118,75,75,0.279850746,0.440298507,0.279850746
2022-06,1,1,0,0,1,0,1,0,1,0,0
2022-07,8,8,0,0,401,223,81,97,0.201995012,0.556109726,0.241895262
2022-08,8,6,0,2,318,172,80,66,0.251572327,0.540880503,0.20754717
2022-09,9,5,0,4,2213,1064,485,664,0.219159512,0.4807953,0.300045188
2022-10,13,9,4,0,513,266,92,155,0.179337232,0.518518519,0.30214425
2022-11,1,0,0,1,39,22,9,8,0.230769231,0.564102564,0.205128205
2022-12,11,7,2,2,308,163,84,61,0.272727273,0.529220779,0.198051948
2023-01,6,3,0,3,119,60,16,43,0.134453782,0.504201681,0.361344538
2023-02,4,2,0,2,156,81,24,51,0.153846154,0.519230769,0.326923077
2023-03,1,1,0,0,63,36,4,23,0.063492063,0.571428571,0.365079365
2023-05,20,11,0,9,1693,808,381,504,0.2250443,0.477259303,0.297696397
2023-06,5,4,1,0,87,47,25,15,0.287356322,0.540229885,0.172413793
2023-07,16,11,4,1,585,350,85,150,0.145299145,0.598290598,0.256410256
2023-08,10,6,2,2,174,91,38,45,0.218390805,0.522988506,0.25862069
2023-09,42,28,7,7,3747,1764,988,995,0.263677609,0.470776621,0.26554577
2023-10,42,25,7,10,2861,1582,544,735,0.190143307,0.552953513,0.256903181
2023-11,30,25,3,2,992,532,184,276,0.185483871,0.536290323,0.278225806
2023-12,28,18,0,10,3331,1532,743,1056,0.223056139,0.459921945,0.317021915
2024-01,84,31,13,40,8695,4041,2067,2587,0.237722829,0.464749856,0.297527315
2024-02,37,10,12,15,3088,1409,775,904,0.250971503,0.456282383,0.292746114
2024-03,45,18,8,19,4678,2147,1126,1405,0.240701154,0.458956819,0.300342027
2024-04,38,22,5,11,1926,944,411,571,0.213395639,0.490134995,0.296469367
2024-05,29,16,9,4,997,509,182,306,0.182547643,0.510531595,0.306920762
2024-06,19,10,1,8,1196,531,288,377,0.240802676,0.443979933,0.315217391
2024-07,22,19,3,0,1301,619,320,362,0.245964643,0.475787855,0.278247502
2024-08,19,14,1,4,645,313,132,200,0.204651163,0.485271318,0.310077519
2024-09,32,18,5,9,1477,673,270,534,0.182802979,0.455653351,0.36154367
2024-10,25,16,7,2,3071,1465,646,960,0.210354933,0.477043308,0.312601758
2024-11,16,6,1,9,2952,1356,714,882,0.241869919,0.459349593,0.298780488
