Year-Month,Total Posts,Positive Posts,Negative Posts,Neutral Posts,Total Comments,Positive Comments,Negative Comments,Neutral Comments,Percent Positive,Percent Negative,Percent Neutral
2012-06,1,1,0,0,10,1,1,8,0.1,0.1,0.8
2012-07,1,1,0,0,41,10,4,27,0.243902439,0.097560976,0.658536585
2012-08,4,2,1,1,60,38,12,10,0.633333333,0.2,0.166666667
2012-09,2,2,0,0,8,5,1,2,0.625,0.125,0.25
2013-01,4,4,0,0,97,43,22,32,0.443298969,0.226804124,0.329896907
2013-04,1,1,0,0,24,12,3,9,0.5,0.125,0.375
2013-05,1,1,0,0,14,7,5,2,0.5,0.357142857,0.142857143
2013-06,1,1,0,0,55,29,15,11,0.527272727,0.272727273,0.2
2013-08,1,1,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
2013-09,1,0,1,0,143,61,50,32,0.426573427,0.34965035,0.223776224
2014-04,2,1,1,0,20,7,7,6,0.35,0.35,0.3
2014-05,1,1,0,0,18,12,3,3,0.666666667,0.166666667,0.166666667
2014-06,2,1,1,0,8,2,0,6,0.25,0,0.75
2014-07,1,0,0,1,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
2014-08,3,3,0,0,48,19,10,19,0.395833333,0.208333333,0.395833333
2014-09,2,2,0,0,27,19,3,5,0.703703704,0.111111111,0.185185185
2014-10,1,1,0,0,9,6,2,1,0.666666667,0.222222222,0.111111111
2014-11,1,1,0,0,31,11,9,11,0.35483871,0.290322581,0.35483871
2014-12,2,2,0,0,26,8,9,9,0.307692308,0.346153846,0.346153846
2015-01,3,3,0,0,26,14,3,9,0.538461538,0.115384615,0.346153846
2015-03,1,1,0,0,5,2,0,3,0.4,0,0.6
2015-04,1,1,0,0,7,4,3,0,0.571428571,0.428571429,0
2015-05,1,1,0,0,51,34,4,13,0.666666667,0.078431373,0.254901961
2015-06,1,0,1,0,4,3,0,1,0.75,0,0.25
2015-07,2,2,0,0,18,10,3,5,0.555555556,0.166666667,0.277777778
2015-08,2,2,0,0,13,9,1,3,0.692307692,0.076923077,0.230769231
2015-09,1,1,0,0,45,24,10,11,0.533333333,0.222222222,0.244444444
2015-10,3,3,0,0,81,47,14,20,0.580246914,0.172839506,0.24691358
2015-11,7,5,0,2,195,111,41,43,0.569230769,0.21025641,0.220512821
2015-12,2,2,0,0,15,10,1,4,0.666666667,0.066666667,0.266666667
2016-01,2,2,0,0,79,37,21,21,0.46835443,0.265822785,0.265822785
2016-03,1,1,0,0,3,1,1,1,0.333333333,0.333333333,0.333333333
2016-04,1,1,0,0,6,4,1,1,0.666666667,0.166666667,0.166666667
2016-06,4,4,0,0,270,144,38,88,0.533333333,0.140740741,0.325925926
2016-08,1,0,1,0,19,13,0,6,0.684210526,0,0.315789474
2016-09,2,2,0,0,12,7,2,3,0.583333333,0.166666667,0.25
2016-11,1,1,0,0,28,13,2,13,0.464285714,0.071428571,0.464285714
2016-12,1,0,0,1,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
2017-01,1,0,0,1,1,0,1,0,0,1,0
2017-02,8,2,1,5,656,233,209,214,0.355182927,0.318597561,0.326219512
2017-03,1,0,1,0,9,1,2,6,0.111111111,0.222222222,0.666666667
2017-04,3,0,0,3,422,162,129,131,0.383886256,0.305687204,0.31042654
2017-05,3,2,1,0,124,70,38,16,0.564516129,0.306451613,0.129032258
2017-06,1,0,0,1,7,3,2,2,0.428571429,0.285714286,0.285714286
2017-09,7,4,1,2,392,182,104,106,0.464285714,0.265306122,0.270408163
2017-11,3,0,3,0,48,9,9,30,0.1875,0.1875,0.625
2018-01,1,0,1,0,1,1,0,0,1,0,0
2018-02,4,1,0,3,93,31,18,44,0.333333333,0.193548387,0.47311828
2018-03,2,1,1,0,84,26,23,35,0.30952381,0.273809524,0.416666667
2018-04,1,1,0,0,1,1,0,0,1,0,0
2018-06,10,2,3,5,1336,627,312,397,0.469311377,0.233532934,0.297155689
2018-07,1,1,0,0,133,80,22,31,0.601503759,0.165413534,0.233082707
2018-08,12,8,0,4,281,109,71,101,0.387900356,0.252669039,0.359430605
2018-09,4,4,0,0,38,36,1,1,0.947368421,0.026315789,0.026315789
2018-10,2,1,0,1,10,8,0,2,0.8,0,0.2
2018-11,4,0,0,4,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
2018-12,2,0,0,2,34,8,11,15,0.235294118,0.323529412,0.441176471
2019-01,9,1,4,4,169,67,46,56,0.396449704,0.272189349,0.331360947
2019-02,7,2,5,0,559,254,136,169,0.454382826,0.243291592,0.302325581
2019-03,9,8,0,1,132,63,30,39,0.477272727,0.227272727,0.295454545
2019-06,9,3,3,3,2169,825,552,792,0.380359613,0.254495159,0.365145228
