Year-Month,Total Posts,Positive Posts,Negative Posts,Neutral Posts,Total Comments,Positive Comments,Negative Comments,Neutral Comments,Percent Positive,Percent Negative,Percent Neutral
2012-01,2,1,1,0,21,13,3,5,0.619047619,0.142857143,0.238095238
2012-02,1,1,0,0,4,2,1,1,0.5,0.25,0.25
2012-03,1,0,0,1,5,1,1,3,0.2,0.2,0.6
2012-04,1,1,0,0,3,1,2,0,0.333333333,0.666666667,0
2012-05,1,1,0,0,64,34,11,19,0.53125,0.171875,0.296875
2012-07,2,2,0,0,10,5,2,3,0.5,0.2,0.3
2012-08,5,5,0,0,54,29,14,11,0.537037037,0.259259259,0.203703704
2012-10,2,2,0,0,7,3,1,3,0.428571429,0.142857143,0.428571429
2012-11,2,2,0,0,7,3,3,1,0.428571429,0.428571429,0.142857143
2013-02,1,0,1,0,11,3,4,4,0.272727273,0.363636364,0.363636364
2013-03,1,0,0,1,2,1,1,0,0.5,0.5,0
2013-05,1,1,0,0,3,3,0,0,1,0,0
2013-08,2,1,0,1,38,23,4,11,0.605263158,0.105263158,0.289473684
2013-09,2,2,0,0,46,20,15,11,0.434782609,0.326086957,0.239130435
2013-10,2,1,1,0,43,29,8,6,0.674418605,0.186046512,0.139534884
2014-02,3,1,0,2,71,22,20,29,0.309859155,0.281690141,0.408450704
2014-04,2,2,0,0,2,2,0,0,1,0,0
2014-06,1,1,0,0,13,5,4,4,0.384615385,0.307692308,0.307692308
2014-07,1,1,0,0,4,1,0,3,0.25,0,0.75
2014-10,4,4,0,0,128,68,30,30,0.53125,0.234375,0.234375
2014-11,1,1,0,0,16,8,3,5,0.5,0.1875,0.3125
2014-12,1,1,0,0,8,4,2,2,0.5,0.25,0.25
2015-01,2,1,0,1,45,14,13,18,0.311111111,0.288888889,0.4
2015-02,2,0,0,2,11,2,2,7,0.181818182,0.181818182,0.636363636
2015-05,1,0,0,1,10,5,1,4,0.5,0.1,0.4
2015-07,1,1,0,0,3,1,2,0,0.333333333,0.666666667,0
2015-08,1,0,0,1,41,9,8,24,0.219512195,0.195121951,0.585365854
2015-09,1,0,0,1,8,4,3,1,0.5,0.375,0.125
2015-11,3,0,1,2,141,66,35,40,0.468085106,0.24822695,0.283687943
2016-02,1,1,0,0,8,2,3,3,0.25,0.375,0.375
2016-03,1,0,1,0,14,6,6,2,0.428571429,0.428571429,0.142857143
2016-06,2,2,0,0,6,3,2,1,0.5,0.333333333,0.166666667
2016-09,1,1,0,0,4,3,0,1,0.75,0,0.25
2016-11,4,1,2,1,352,152,104,96,0.431818182,0.295454545,0.272727273
2016-12,1,1,0,0,2,1,0,1,0.5,0,0.5
2017-01,8,0,2,6,224,87,65,72,0.388392857,0.290178571,0.321428571
2017-02,15,8,1,6,369,136,125,108,0.368563686,0.338753388,0.292682927
2017-03,4,0,2,2,106,43,30,33,0.405660377,0.283018868,0.311320755
2017-04,2,1,0,1,31,16,7,8,0.516129032,0.225806452,0.258064516
2017-05,3,1,1,1,168,61,73,34,0.363095238,0.43452381,0.202380952
2017-06,3,1,0,2,5,1,3,1,0.2,0.6,0.2
2017-07,1,0,1,0,23,13,8,2,0.565217391,0.347826087,0.086956522
2017-08,1,1,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
2017-09,4,1,1,2,388,164,103,121,0.422680412,0.265463918,0.31185567
2017-10,3,1,1,1,18,4,4,10,0.222222222,0.222222222,0.555555556
2017-11,2,1,1,0,24,13,3,8,0.541666667,0.125,0.333333333
2017-12,3,0,3,0,56,27,9,20,0.482142857,0.160714286,0.357142857
2018-01,8,7,1,0,98,51,17,30,0.520408163,0.173469388,0.306122449
2018-02,3,3,0,0,24,11,5,8,0.458333333,0.208333333,0.333333333
2018-03,6,5,0,1,499,225,129,145,0.450901804,0.258517034,0.290581162
2018-04,7,2,0,5,106,44,19,43,0.41509434,0.179245283,0.405660377
2018-06,11,3,5,3,661,267,202,192,0.403933434,0.305597579,0.290468986
2018-07,7,2,2,3,149,55,48,46,0.369127517,0.322147651,0.308724832
2018-08,2,2,0,0,2,0,2,0,0,1,0
2018-09,5,4,1,0,67,27,9,31,0.402985075,0.134328358,0.462686567
2018-10,4,1,2,1,88,37,24,27,0.420454545,0.272727273,0.306818182
2018-11,1,1,0,0,16,6,3,7,0.375,0.1875,0.4375
2018-12,5,3,0,2,249,122,43,84,0.489959839,0.172690763,0.337349398
2019-01,4,3,0,1,30,16,2,12,0.533333333,0.066666667,0.4
2019-02,2,1,0,1,41,34,2,5,0.829268293,0.048780488,0.12195122
2019-04,7,4,2,1,180,79,41,60,0.438888889,0.227777778,0.333333333
2019-05,3,3,0,0,36,15,4,17,0.416666667,0.111111111,0.472222222
2019-06,9,4,4,1,711,356,180,175,0.500703235,0.253164557,0.246132208
2019-07,3,1,1,1,34,20,7,7,0.588235294,0.205882353,0.205882353
2019-08,2,1,0,1,17,13,0,4,0.764705882,0,0.235294118
2019-09,2,1,0,1,89,36,22,31,0.404494382,0.247191011,0.348314607
2019-10,6,4,1,1,302,112,83,107,0.370860927,0.274834437,0.354304636
2019-11,3,1,0,2,17,5,6,6,0.294117647,0.352941176,0.352941176
2019-12,10,4,2,4,389,166,99,124,0.426735219,0.254498715,0.318766067
2020-01,7,6,1,0,86,47,20,19,0.546511628,0.23255814,0.220930233
2020-02,27,24,2,1,899,498,198,203,0.553948832,0.220244716,0.225806452
2020-03,28,14,14,0,1065,475,273,317,0.44600939,0.256338028,0.297652582
2020-04,13,7,6,0,347,177,95,75,0.510086455,0.273775216,0.216138329
2020-05,21,14,0,7,357,169,68,120,0.473389356,0.19047619,0.336134454
2020-06,16,6,10,0,691,281,200,210,0.406657019,0.289435601,0.303907381
2020-07,23,17,6,0,3728,1658,862,1208,0.444742489,0.231223176,0.324034335
2020-08,39,35,4,0,2947,1653,629,665,0.560909399,0.213437394,0.225653207
2020-09,20,19,1,0,700,345,190,165,0.492857143,0.271428571,0.235714286
2020-10,21,18,3,0,1248,604,249,395,0.483974359,0.199519231,0.31650641
2020-11,17,10,3,4,550,241,125,184,0.438181818,0.227272727,0.334545455
2020-12,12,11,0,1,1804,930,413,461,0.515521064,0.228935698,0.255543237
2021-01,3,3,0,0,108,51,29,28,0.472222222,0.268518519,0.259259259
2021-02,6,3,3,0,360,171,101,88,0.475,0.280555556,0.244444444
2021-03,4,1,3,0,180,64,77,39,0.355555556,0.427777778,0.216666667
2021-04,12,7,1,4,834,381,225,228,0.456834532,0.269784173,0.273381295
2021-05,8,4,1,3,522,256,122,144,0.490421456,0.233716475,0.275862069
2021-06,3,2,0,1,148,73,28,47,0.493243243,0.189189189,0.317567568
2021-07,4,3,1,0,15,9,3,3,0.6,0.2,0.2
2021-08,4,2,2,0,205,108,34,63,0.526829268,0.165853659,0.307317073
2021-09,14,14,0,0,338,164,53,121,0.485207101,0.156804734,0.357988166
2021-10,13,7,6,0,494,281,87,126,0.568825911,0.17611336,0.255060729
2021-12,8,7,0,1,806,459,164,183,0.569478908,0.203473945,0.227047146
2022-01,2,2,0,0,290,144,69,77,0.496551724,0.237931034,0.265517241
2022-02,6,6,0,0,170,90,28,52,0.529411765,0.164705882,0.305882353
2022-03,8,5,3,0,398,246,60,92,0.618090452,0.150753769,0.231155779
2022-04,10,6,1,3,241,141,50,50,0.585062241,0.20746888,0.20746888
2022-05,4,3,0,1,169,85,38,46,0.50295858,0.224852071,0.272189349
2022-06,3,0,3,0,159,78,38,43,0.490566038,0.238993711,0.270440252
2022-07,2,1,0,1,192,116,24,52,0.604166667,0.125,0.270833333
2022-08,4,3,0,1,1283,585,285,413,0.455962588,0.22213562,0.321901793
2022-09,11,7,3,1,1110,512,260,338,0.461261261,0.234234234,0.304504505
2022-10,7,6,0,1,481,290,74,117,0.602910603,0.153846154,0.243243243
2022-11,4,1,1,2,108,59,24,25,0.546296296,0.222222222,0.231481481
2022-12,6,2,0,4,577,262,163,152,0.45407279,0.282495667,0.263431542
2023-01,2,1,0,1,147,63,26,58,0.428571429,0.176870748,0.394557823
2023-02,4,3,0,1,185,85,43,57,0.459459459,0.232432432,0.308108108
2023-04,6,2,4,0,450,182,129,139,0.404444444,0.286666667,0.308888889
2023-05,13,4,1,8,1604,753,383,468,0.469451372,0.238778055,0.291770574
2023-06,6,3,2,1,761,340,221,200,0.446780552,0.290407359,0.262812089
2023-07,7,4,1,2,818,502,77,239,0.613691932,0.094132029,0.292176039
2023-08,11,8,3,0,397,174,81,142,0.438287154,0.204030227,0.35768262
2023-09,16,1,4,11,2584,1204,607,773,0.465944272,0.234907121,0.299148607
2023-10,19,14,2,3,762,357,161,244,0.468503937,0.211286089,0.320209974
2023-11,2,1,0,1,71,31,16,24,0.436619718,0.225352113,0.338028169
2023-12,4,3,0,1,458,201,99,158,0.438864629,0.216157205,0.344978166
2024-01,27,14,2,11,4454,1989,1066,1399,0.446564885,0.239335429,0.314099686
2024-02,56,29,8,19,8351,3438,2201,2712,0.411687223,0.26356125,0.324751527
2024-03,27,9,8,10,1972,948,449,575,0.480730223,0.227687627,0.29158215
2024-04,18,10,2,6,4650,2237,1155,1258,0.481075269,0.248387097,0.270537634
2024-05,15,10,0,5,3326,1314,829,1183,0.395069152,0.249248346,0.355682502
2024-06,16,7,1,8,1869,830,510,529,0.444087747,0.272873194,0.283039058
2024-07,21,7,7,7,1973,880,502,591,0.446021287,0.254434871,0.299543842
2024-08,30,8,14,8,5456,2391,1465,1600,0.438233138,0.26851173,0.293255132
2024-09,24,14,0,10,2416,1056,606,754,0.437086093,0.250827815,0.312086093
2024-10,19,9,3,7,1383,675,318,390,0.488069414,0.229934924,0.281995662
2024-11,29,16,8,5,4510,2063,1150,1297,0.457427938,0.254988914,0.287583149
2024-12,2,0,0,2,142,41,42,59,0.288732394,0.295774648,0.415492958
